Name ;Comment URL;content;Date;"emocion";content_global;tokens;lemas;content_clasico;content_transformers
CaLeL;https://www.tiktok.com/@calel_j/video/7354011532155489541?comment_id=7398190163102368518;la mayoria se da cuenta cuando la persona ya se a suicidado;2024-08-01 15:16:27;"Ira";la mayoria se da cuenta cuando la persona ya se a suicidado;['la', 'mayoria', 'se', 'da', 'cuenta', 'cuando', 'la', 'persona', 'ya', 'se', 'a', 'suicidado'];['mayoria', 'persona', 'suicidado'];mayoria persona suicidado;la mayoria se da cuenta cuando la persona ya se a suicidado
🖤;https://www.tiktok.com/@ajma13/video/7354011532155489541?comment_id=7406916892110209797;yo tengo depresion desde niña, en todo el proceso de aprender. a vivir con ello a dia de hoy con el afan de protegerme me siento vacia sin alma;2024-08-25 03:40:41;"Tristeza";yo tengo depresion desde niña, en todo el proceso de aprender. a vivir con ello a dia de hoy con el afan de protegerme me siento vacia sin alma;['yo', 'tengo', 'depresion', 'desde', 'niña', 'en', 'todo', 'el', 'proceso', 'de', 'aprender', 'a', 'vivir', 'con', 'ello', 'a', 'dia', 'de', 'hoy', 'con', 'el', 'afan', 'de', 'protegerme', 'me', 'siento', 'vacia', 'sin', 'alma'];['depresion', 'niña', 'proceso', 'aprender', 'vivir', 'afan', 'protegerme', 'sentir', 'vacia', 'alma'];depresion niña proceso aprender vivir afan protegerme sentir vacia alma;yo tengo depresion desde niña, en todo el proceso de aprender. a vivir con ello a dia de hoy con el afan de protegerme me siento vacia sin alma
gustraitorrr;https://www.tiktok.com/@gustraitorrr/video/7354011532155489541?comment_id=7408408740138386181;2 semanas llevo como 6 años u.u;2024-08-29 04:09:48;"Tristeza";2 semanas llevo como 6 años u.u;['2', 'semanas', 'llevo', 'como', '6', 'años', 'u', 'u'];['2', 'semana', 'llevar', '6', 'año'];2 semana llevar 6 año;2 semanas llevo como 6 años u.u
Videos random;https://www.tiktok.com/@videos.random925/video/7354011532155489541?comment_id=7409815354866713377;voy luchando con eso ya 5 años y todos piensan que estoy loco o spu debil 😢;2024-09-01 23:08:14;"Tristeza";voy luchando con eso ya 5 años y todos piensan que estoy loco o spu debil emoji_cara_llorando;['voy', 'luchando', 'con', 'eso', 'ya', '5', 'años', 'y', 'todos', 'piensan', 'que', 'estoy', 'loco', 'o', 'spu', 'debil', 'emoji_cara_llorando'];['luchar', '5', 'año', 'pensar', 'loco', 'spu', 'debil', 'emoji_cara_llorar'];luchar 5 año pensar loco spu debil emoji_cara_llorar;voy luchando con eso ya 5 años y todos piensan que estoy loco o spu debil emoji_cara_llorando
Hansen 🖤;https://www.tiktok.com/@hansenanariba4/video/7354011532155489541?comment_id=7411615427660366598;Me siento triste y frustrado todos los días de mi vida y una tristeza horrible;2024-09-06 19:33:16;"Tristeza";Me siento triste y frustrado todos los días de mi vida y una tristeza horrible;['me', 'siento', 'triste', 'y', 'frustrado', 'todos', 'los', 'días', 'de', 'mi', 'vida', 'y', 'una', 'tristeza', 'horrible'];['sentir', 'triste', 'frustrado', 'vida', 'tristeza', 'horrible'];sentir triste frustrado vida tristeza horrible;Me siento triste y frustrado todos los días de mi vida y una tristeza horrible
fercho;https://www.tiktok.com/@ferchogym4/video/7354011532155489541?comment_id=7411703108621239046;mmm tengo un cuarto de presión;2024-09-07 01:13:33;"Tristeza";mmm tengo un cuarto de presión;['mmm', 'tengo', 'un', 'cuarto', 'de', 'presión'];['mmm', 'cuarto', 'presión'];mmm cuarto presión;mmm tengo un cuarto de presión
Tannya verdugo;https://www.tiktok.com/@tannyaverdugo/video/7354011532155489541?comment_id=7416562196266500869;😳😳😳;2024-09-20 03:29:23;"Tristeza";emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada;['emoji_cara_sonrojada', 'emoji_cara_sonrojada', 'emoji_cara_sonrojada'];['emoji_cara_sonrojado', 'emoji_cara_sonrojado', 'emoji_cara_sonrojadar'];emoji_cara_sonrojado emoji_cara_sonrojado emoji_cara_sonrojadar;emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada
Marketing | Diseños | Utah;https://www.tiktok.com/@isavpf/video/7354011532155489541?comment_id=7416833836770558750;Por eso nunca he entendido cómo la gente te dice “ya se te va a quitar” “cómo no estás feliz”, tomo escitalopram, tenía miedo de tomar eso pero leí un libro de autoayuda que no tiene optimismo tóxico;2024-09-20 21:03:28;"Miedo";Por eso nunca he entendido cómo la gente te dice “ya se te va a quitar” “cómo no estás feliz”, tomo escitalopram, tenía miedo de tomar eso pero leí un libro de autoayuda que no tiene optimismo tóxico;['por', 'eso', 'nunca', 'he', 'entendido', 'cómo', 'la', 'gente', 'te', 'dice', 'ya', 'se', 'te', 'va', 'a', 'quitar', 'cómo', 'no', 'estás', 'feliz', 'tomo', 'escitalopram', 'tenía', 'miedo', 'de', 'tomar', 'eso', 'pero', 'leí', 'un', 'libro', 'de', 'autoayuda', 'que', 'no', 'tiene', 'optimismo', 'tóxico'];['nunca', 'entender', 'gente', 'quitar', 'no', 'estar', 'feliz', 'tomo', 'escitalopram', 'miedo', 'tomar', 'leer', 'libro', 'autoayuda', 'no', 'optimismo', 'tóxico'];nunca entender gente quitar no estar feliz tomo escitalopram miedo tomar leer libro autoayuda no optimismo tóxico;Por eso nunca he entendido cómo la gente te dice “ya se te va a quitar” “cómo no estás feliz”, tomo escitalopram, tenía miedo de tomar eso pero leí un libro de autoayuda que no tiene optimismo tóxico
Jacqui Torres;https://www.tiktok.com/@jacquitorres13/video/7354011532155489541?comment_id=7421467507993166597;🥺;2024-10-03 08:44:32;"Tristeza";emoji_cara_suplicante;['emoji_cara_suplicante'];['emoji_cara_suplicante'];emoji_cara_suplicante;emoji_cara_suplicante
Makel_arvac16🇧🇴🇧🇷;https://www.tiktok.com/@makel_arvac16/video/7354011532155489541?comment_id=7425037594423411462;ayer salí con mis amigos y no sentía nada ni siquiera me reí;2024-10-12 23:38:15;"Tristeza";ayer salí con mis amigos y no sentía nada ni siquiera me reí;['ayer', 'salí', 'con', 'mis', 'amigos', 'y', 'no', 'sentía', 'nada', 'ni', 'siquiera', 'me', 'reí'];['ayer', 'salí', 'amigo', 'no', 'sentir', 'nada', 'ni', 'siquiera', 'reí'];ayer salí amigo no sentir nada ni siquiera reí;ayer salí con mis amigos y no sentía nada ni siquiera me reí
Juvi;https://www.tiktok.com/@ju4201305/video/7354011532155489541?comment_id=7428803612094432005;😳😳😳;2024-10-23 03:12:20;"Tristeza";emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada;['emoji_cara_sonrojada', 'emoji_cara_sonrojada', 'emoji_cara_sonrojada'];['emoji_cara_sonrojado', 'emoji_cara_sonrojado', 'emoji_cara_sonrojadar'];emoji_cara_sonrojado emoji_cara_sonrojado emoji_cara_sonrojadar;emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada
🖇️🚶🏻Yam;https://www.tiktok.com/@dulcebtz7/video/7354011532155489541?comment_id=7436991057760928567;🥰🥰🥰;2024-11-14 04:44:15;"Alegría";emoji_cara_sonriendo_con_corazones emoji_cara_sonriendo_con_corazones emoji_cara_sonriendo_con_corazones;['emoji_cara_sonriendo_con_corazones', 'emoji_cara_sonriendo_con_corazones', 'emoji_cara_sonriendo_con_corazones'];['emoji_cara_sonriendo_con_corazón', 'emoji_cara_sonriendo_con_corazón', 'emoji_cara_sonriendo_con_corazón'];emoji_cara_sonriendo_con_corazón emoji_cara_sonriendo_con_corazón emoji_cara_sonriendo_con_corazón;emoji_cara_sonriendo_con_corazones emoji_cara_sonriendo_con_corazones emoji_cara_sonriendo_con_corazones
caarmensb;https://www.tiktok.com/@caarmensb/video/7354011532155489541?comment_id=7442237461881324321;😍😍😍;2024-11-28 08:03:30;"Alegría";emoji_cara_sonriendo_con_ojos_de_corazón emoji_cara_sonriendo_con_ojos_de_corazón emoji_cara_sonriendo_con_ojos_de_corazón;['emoji_cara_sonriendo_con_ojos_de_corazón', 'emoji_cara_sonriendo_con_ojos_de_corazón', 'emoji_cara_sonriendo_con_ojos_de_corazón'];['emoji_cara_sonriendo_con_ojos_de_corazón', 'emoji_cara_sonriendo_con_ojos_de_corazón', 'emoji_cara_sonriendo_con_ojos_de_corazón'];emoji_cara_sonriendo_con_ojos_de_corazón emoji_cara_sonriendo_con_ojos_de_corazón emoji_cara_sonriendo_con_ojos_de_corazón;emoji_cara_sonriendo_con_ojos_de_corazón emoji_cara_sonriendo_con_ojos_de_corazón emoji_cara_sonriendo_con_ojos_de_corazón
tu Papi 😍;https://www.tiktok.com/@gta_dani1/video/7354011532155489541?comment_id=7448830699803443973;😔😔😔;2024-12-16 02:27:56;"Tristeza";emoji_cara_desanimada emoji_cara_desanimada emoji_cara_desanimada;['emoji_cara_desanimada', 'emoji_cara_desanimada', 'emoji_cara_desanimada'];['emoji_cara_desanimar', 'emoji_cara_desanimada', 'emoji_cara_desanimada'];emoji_cara_desanimar emoji_cara_desanimada emoji_cara_desanimada;emoji_cara_desanimada emoji_cara_desanimada emoji_cara_desanimada
tu Papi 😍;https://www.tiktok.com/@gta_dani1/video/7354011532155489541?comment_id=7448831191287186181;🥰;2024-12-16 02:29:47;"Alegría";emoji_cara_sonriendo_con_corazones;['emoji_cara_sonriendo_con_corazones'];['emoji_cara_sonriendo_con_corazón'];emoji_cara_sonriendo_con_corazón;emoji_cara_sonriendo_con_corazones
🇨🇱;https://www.tiktok.com/@hola_comoestan1.0/video/7354011532155489541?comment_id=7453618735032124166;si yo me corto con cuchillos es depresión sentirme feliz pero cuando me calmo y me pongo a pensar en cualquier de repente me pongo triste y a sentirme triste y pensar como ☠️a mi misma es depresión?;2024-12-29 00:07:54;"Tristeza";si yo me corto con cuchillos es depresión sentirme feliz pero cuando me calmo y me pongo a pensar en cualquier de repente me pongo triste y a sentirme triste y pensar como emoji_calavera_y_huesos_cruzados a mi misma es depresión?;['si', 'yo', 'me', 'corto', 'con', 'cuchillos', 'es', 'depresión', 'sentirme', 'feliz', 'pero', 'cuando', 'me', 'calmo', 'y', 'me', 'pongo', 'a', 'pensar', 'en', 'cualquier', 'de', 'repente', 'me', 'pongo', 'triste', 'y', 'a', 'sentirme', 'triste', 'y', 'pensar', 'como', 'emoji_calavera_y_huesos_cruzados', 'a', 'mi', 'misma', 'es', 'depresión', 'interrogacion'];['si', 'cortar', 'cuchillo', 'depresión', 'sentir yo', 'feliz', 'calmar', 'poner', 'pensar', 'poner', 'triste', 'sentir yo', 'triste', 'pensar', 'emoji_calavera_y_huesos_cruzado', 'depresión', 'interrogacion'];si cortar cuchillo depresión sentir yo feliz calmar poner pensar poner triste sentir yo triste pensar emoji_calavera_y_huesos_cruzado depresión interrogacion;si yo me corto con cuchillos es depresión sentirme feliz pero cuando me calmo y me pongo a pensar en cualquier de repente me pongo triste y a sentirme triste y pensar como emoji_calavera_y_huesos_cruzados a mi misma es depresión?
julioantoniopizan;https://www.tiktok.com/@julioantoniopizan/video/7354011532155489541?comment_id=7455896401995088646;😂;2025-01-04 03:26:21;"Alegría";emoji_cara_llorando_de_risa;['emoji_cara_llorando_de_risa'];['emoji_cara_llorando_de_risa'];emoji_cara_llorando_de_risa;emoji_cara_llorando_de_risa
sebastian;https://www.tiktok.com/@sebas_millan.ariza/video/7354011532155489541?comment_id=7461122464060736261;🥰;2025-01-18 05:26:32;"Alegría";emoji_cara_sonriendo_con_corazones;['emoji_cara_sonriendo_con_corazones'];['emoji_cara_sonriendo_con_corazón'];emoji_cara_sonriendo_con_corazón;emoji_cara_sonriendo_con_corazones
andreadelgadob;https://www.tiktok.com/@andreadelgadob/video/7354011532155489541?comment_id=7462958283608785669;😞;2025-01-23 04:10:32;"Tristeza";emoji_cara_decepcionada;['emoji_cara_decepcionada'];['emoji_cara_decepcionar'];emoji_cara_decepcionar;emoji_cara_decepcionada
Yours ever;https://www.tiktok.com/@yoursever..hill/video/7354011532155489541?comment_id=7489654205314106119;💔;2025-04-05 02:43:46;"Tristeza";emoji_corazón_roto;['emoji_corazón_roto'];['emoji_corazón_roto'];emoji_corazón_roto;emoji_corazón_roto
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189130529424134;♥️;2025-05-14 06:47:40;"Alegría";emoji_palo_de_corazones;['emoji_palo_de_corazones'];['emoji_palo_de_corazón'];emoji_palo_de_corazón;emoji_palo_de_corazones
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189242944422662;💔;2025-05-14 06:47:44;"Tristeza";emoji_corazón_roto;['emoji_corazón_roto'];['emoji_corazón_roto'];emoji_corazón_roto;emoji_corazón_roto
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189122581611270;♥️;2025-05-14 06:47:46;"Alegría";emoji_palo_de_corazones;['emoji_palo_de_corazones'];['emoji_palo_de_corazón'];emoji_palo_de_corazón;emoji_palo_de_corazones
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189224498365239;😍;2025-05-14 06:47:49;"Alegría";emoji_cara_sonriendo_con_ojos_de_corazón;['emoji_cara_sonriendo_con_ojos_de_corazón'];['emoji_cara_sonriendo_con_ojos_de_corazón'];emoji_cara_sonriendo_con_ojos_de_corazón;emoji_cara_sonriendo_con_ojos_de_corazón
Florcita1979;https://www.tiktok.com/@florcitacarp1979/video/7354011532155489541?comment_id=7504791121412981509;😁;2025-05-15 21:43:06;"Alegría";emoji_cara_radiante_con_ojos_sonrientes;['emoji_cara_radiante_con_ojos_sonrientes'];['emoji_cara_radiante_con_ojos_sonrient'];emoji_cara_radiante_con_ojos_sonrient;emoji_cara_radiante_con_ojos_sonrientes
𝐝𝐞𝐧𝐢;https://www.tiktok.com/@denisezro/video/7354011532155489541?comment_id=7508347621963465477;dejen de relacionar la tristeza visible con la depresión, tener depresión no siempre es visible o es estar siempre triste y que se note;2025-05-25 11:43:42;"Ira";dejen de relacionar la tristeza visible con la depresión, tener depresión no siempre es visible o es estar siempre triste y que se note;['dejen', 'de', 'relacionar', 'la', 'tristeza', 'visible', 'con', 'la', 'depresión', 'tener', 'depresión', 'no', 'siempre', 'es', 'visible', 'o', 'es', 'estar', 'siempre', 'triste', 'y', 'que', 'se', 'note'];['dejar', 'relacionar', 'tristeza', 'visible', 'depresión', 'depresión', 'no', 'siempre', 'visible', 'siempre', 'triste', 'notar'];dejar relacionar tristeza visible depresión depresión no siempre visible siempre triste notar;dejen de relacionar la tristeza visible con la depresión, tener depresión no siempre es visible o es estar siempre triste y que se note
alex_;https://www.tiktok.com/@spam184881/video/7354011532155489541?comment_id=7512548336659448606;tenemos la idea de que la depresión es solo tristeza no todas las personas sienten tristeza a veces puede estar disfrazada de enojo frustración irritabilidad;2025-06-05 19:24:48;"Ira";tenemos la idea de que la depresión es solo tristeza no todas las personas sienten tristeza a veces puede estar disfrazada de enojo frustración irritabilidad;['tenemos', 'la', 'idea', 'de', 'que', 'la', 'depresión', 'es', 'solo', 'tristeza', 'no', 'todas', 'las', 'personas', 'sienten', 'tristeza', 'a', 'veces', 'puede', 'estar', 'disfrazada', 'de', 'enojo', 'frustración', 'irritabilidad'];['idea', 'depresión', 'tristeza', 'no', 'persona', 'sentir', 'tristeza', 'disfrazado', 'enojo', 'frustración', 'irritabilidad'];idea depresión tristeza no persona sentir tristeza disfrazado enojo frustración irritabilidad;tenemos la idea de que la depresión es solo tristeza no todas las personas sienten tristeza a veces puede estar disfrazada de enojo frustración irritabilidad
andy ۫ ꣑ৎ;https://www.tiktok.com/@fridaylooq/video/7354011532155489541?comment_id=7514785052288598792;a mí me pasa algo bueno o no tan malo y me pongo triste, hay algo que me gusta y lo estoy, siento tristeza todo el tiempo, tengo ganas de llorar siempre no importa que me pase sea bueno o malo siento tanta tristeza todos los días;2025-06-11 20:04:14;"Tristeza";a mí me pasa algo bueno o no tan malo y me pongo triste, hay algo que me gusta y lo estoy, siento tristeza todo el tiempo, tengo ganas de llorar siempre no importa que me pase sea bueno o malo siento tanta tristeza todos los días;['a', 'mí', 'me', 'pasa', 'algo', 'bueno', 'o', 'no', 'tan', 'malo', 'y', 'me', 'pongo', 'triste', 'hay', 'algo', 'que', 'me', 'gusta', 'y', 'lo', 'estoy', 'siento', 'tristeza', 'todo', 'el', 'tiempo', 'tengo', 'ganas', 'de', 'llorar', 'siempre', 'no', 'importa', 'que', 'me', 'pase', 'sea', 'bueno', 'o', 'malo', 'siento', 'tanta', 'tristeza', 'todos', 'los', 'días'];['pasar', 'bueno', 'no', 'malo', 'poner', 'triste', 'gustar', 'siento', 'tristeza', 'tiempo', 'gana', 'llorar', 'siempre', 'no', 'importar', 'pasar', 'bueno', 'malo', 'sentir', 'tanto', 'tristeza'];pasar bueno no malo poner triste gustar siento tristeza tiempo gana llorar siempre no importar pasar bueno malo sentir tanto tristeza;a mí me pasa algo bueno o no tan malo y me pongo triste, hay algo que me gusta y lo estoy, siento tristeza todo el tiempo, tengo ganas de llorar siempre no importa que me pase sea bueno o malo siento tanta tristeza todos los días
Alee.;https://www.tiktok.com/@hasbeck.luciano/video/7354011532155489541?comment_id=7520669559126541072;tenemos tan poco normalizado estar tristes que cuando lo estamos la gente piensa que es un problema, permitirse no estar bien aveces también es salud mental;2025-06-27 16:39:11;"Ira";tenemos tan poco normalizado estar tristes que cuando lo estamos la gente piensa que es un problema, permitirse no estar bien aveces también es salud mental;['tenemos', 'tan', 'poco', 'normalizado', 'estar', 'tristes', 'que', 'cuando', 'lo', 'estamos', 'la', 'gente', 'piensa', 'que', 'es', 'un', 'problema', 'permitirse', 'no', 'estar', 'bien', 'aveces', 'también', 'es', 'salud', 'mental'];['poco', 'normalizado', 'trist', 'gente', 'pensar', 'problema', 'permitir él', 'no', 'bien', 'avez', 'salud', 'mental'];poco normalizado trist gente pensar problema permitir él no bien avez salud mental;tenemos tan poco normalizado estar tristes que cuando lo estamos la gente piensa que es un problema, permitirse no estar bien aveces también es salud mental
𝓐𝓵𝓮𝔁𝓲𝓪🤍;https://www.tiktok.com/@alexiadavalos_/video/7354011532155489541?comment_id=7532758652655059718;😍;2025-07-30 06:31:04;"Alegría";emoji_cara_sonriendo_con_ojos_de_corazón;['emoji_cara_sonriendo_con_ojos_de_corazón'];['emoji_cara_sonriendo_con_ojos_de_corazón'];emoji_cara_sonriendo_con_ojos_de_corazón;emoji_cara_sonriendo_con_ojos_de_corazón
Adriana Huanca;https://www.tiktok.com/@adrianahuanca4/video/7354011532155489541?comment_id=7535687513009652487;🥰;2025-08-07 03:56:22;"Alegría";emoji_cara_sonriendo_con_corazones;['emoji_cara_sonriendo_con_corazones'];['emoji_cara_sonriendo_con_corazón'];emoji_cara_sonriendo_con_corazón;emoji_cara_sonriendo_con_corazones
fornais;https://www.tiktok.com/@krikri__1/video/7354011532155489541?comment_id=7552764199015203640;🥰;2025-09-22 04:23:02;"Alegría";emoji_cara_sonriendo_con_corazones;['emoji_cara_sonriendo_con_corazones'];['emoji_cara_sonriendo_con_corazón'];emoji_cara_sonriendo_con_corazón;emoji_cara_sonriendo_con_corazones
Andara Garcia;https://www.tiktok.com/@andaragarcia4/video/7354011532155489541?comment_id=7554489461523989279;😂😂😂;2025-09-26 19:57:54;"Alegría";emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa;['emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa'];['emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa'];emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa;emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa
mmgalch;https://www.tiktok.com/@bymerchegc/video/7354011532155489541?comment_id=7559389473710293782;🙏🏻;2025-10-10 00:53:28;"Alegría";emoji_manos_en_oración_tono_de_piel_claro;['emoji_manos_en_oración_tono_de_piel_claro'];['emoji_manos_en_oración_tono_de_piel_claro'];emoji_manos_en_oración_tono_de_piel_claro;emoji_manos_en_oración_tono_de_piel_claro
Sol Bulacio;https://www.tiktok.com/@solyoutube24/video/7354011532155489541?comment_id=7584074497650803467;Ojalá la gente lo entendiera;2025-12-15 13:22:37;"Tristeza";Ojalá la gente lo entendiera;['ojalá', 'la', 'gente', 'lo', 'entendiera'];['ojalá', 'gente', 'entendiero'];ojalá gente entendiero;Ojalá la gente lo entendiera
